,Model,Independent variable1,Independent variable2,Adjusted R2,Coefficient1,Coefficient2
0,Fixed effect,tornado_count,tropical_storm_death,0.06053729011526021,0.0004233957688979674,0.04119380709472166
1,Fixed effect,tornado_count,tropical_storm_count,0.06008237697140184,0.00039905751057463923,0.0008088551233948783
2,Fixed effect,tornado_count,wildfire_dummy,0.060068993708828455,0.000507811090237134,0.03329778328628852
3,Fixed effect,tornado_count,wildfire_count,0.06008822892046817,0.0005472271793416293,0.0002427855137715974
4,Fixed effect,tornado_count,tropical_storm_dummy,0.059376085945666346,0.0004778815559702452,0.00663245157526682
5,Fixed effect,tornado_count,tornado_injury,0.05935339696447295,0.0004928052460074293,6.3609899647639e-06
6,Fixed effect,tornado_count,flood_count,0.05961368944218093,0.0004118212530501522,0.0001563870226301713
7,Fixed effect,tornado_count,flood_death,0.060153571794885896,0.00039391839383608114,0.007583371832829659
8,Fixed effect,tornado_count,avg_tornado_scale,0.05958473346338766,0.00046953082367819543,0.01680184791192608
9,Fixed effect,tornado_count,PerCapitaIncome,0.05956672937075835,0.000499075571290392,-1.8085671907271269e-06
10,Fixed effect,tornado_count,GDP_per_capita,0.05987515336727067,0.0004896116455643637,-2.631493938126297
11,Fixed effect,tornado_count,heat_death,0.06022566863101719,0.0005391163977521919,-0.0014775973667327648
12,Fixed effect,tornado_count,winter_storm_count,0.060602304394636874,0.00046020480203603364,0.0002755224874258159
13,Fixed effect,tropical_storm_death,tropical_storm_count,0.06008069477258193,0.03489244298688532,0.0006055148038437515
14,Fixed effect,tropical_storm_death,wildfire_dummy,0.06036992253277351,0.04541039274034862,0.03120163757088784
15,Fixed effect,tropical_storm_death,wildfire_count,0.060295611112986536,0.046626141870979854,0.00020962317994389264
16,Fixed effect,tropical_storm_death,tropical_storm_dummy,0.05983377244293342,0.044344065259531724,0.012143331208201128
17,Fixed effect,tropical_storm_death,tornado_injury,0.060035889087998284,0.04492095371466028,6.162242300197161e-05
18,Fixed effect,tropical_storm_death,flood_count,0.060210046886555624,0.042511927471075336,0.00019674474563345534
19,Fixed effect,tropical_storm_death,flood_death,0.06071973823315058,0.04169568714608929,0.008157800130534833
20,Fixed effect,tropical_storm_death,avg_tornado_scale,0.06004612036560375,0.04494105851340699,0.019011724974912537
21,Fixed effect,tropical_storm_death,PerCapitaIncome,0.0599881884831337,0.046559626154762196,-1.936015265948786e-06
22,Fixed effect,tropical_storm_death,GDP_per_capita,0.060295363050456685,0.0458953253559182,-2.7044576669202995
23,Fixed effect,tropical_storm_death,heat_death,0.06046889357331431,0.04665488543326599,-0.0013447602120505936
24,Fixed effect,tropical_storm_death,winter_storm_count,0.061387333284725565,0.04935551155570946,0.00031526832908327875
25,Fixed effect,tropical_storm_count,wildfire_dummy,0.06002858427007318,0.0009746251838637933,0.03106951994555287
26,Fixed effect,tropical_storm_count,wildfire_count,0.06001997182612473,0.0010355640836909419,0.00022074962124971325
27,Fixed effect,tropical_storm_count,tropical_storm_dummy,0.05940622973888765,0.0010285328949859735,-0.0013020648895331762
28,Fixed effect,tropical_storm_count,tornado_injury,0.05967321708089435,0.0009539310950534948,5.893827954336378e-05
29,Fixed effect,tropical_storm_count,flood_count,0.059850445169285615,0.0008865256383259865,0.00019311176752239865
30,Fixed effect,tropical_storm_count,flood_death,0.06043954562172926,0.0008948909741981734,0.008375629598569176
31,Fixed effect,tropical_storm_count,avg_tornado_scale,0.05975453637620287,0.0009800292761362815,0.020296028325315546
32,Fixed effect,tropical_storm_count,PerCapitaIncome,0.05960971357319145,0.0009920999686644403,-1.761778256312019e-06
33,Fixed effect,tropical_storm_count,GDP_per_capita,0.059896604771939144,0.000965513203131651,-2.551274342146945
34,Fixed effect,tropical_storm_count,heat_death,0.06002886902920335,0.0009691818003149486,-0.0012467151609651653
35,Fixed effect,tropical_storm_count,winter_storm_count,0.06092867295509452,0.001035132856901026,0.0003028389682427583
36,Fixed effect,wildfire_dummy,wildfire_count,0.05941240293107419,0.032374444670715215,0.00020312864354238468
37,Fixed effect,wildfire_dummy,tropical_storm_dummy,0.05917661223566972,0.03281446893686624,0.02081784049205674
38,Fixed effect,wildfire_dummy,tornado_injury,0.05921017315861277,0.0309242258650885,6.410654958038069e-05
39,Fixed effect,wildfire_dummy,flood_count,0.05993480250341909,0.03955068719363824,0.00029296332241361575
40,Fixed effect,wildfire_dummy,flood_death,0.0603022683267771,0.035372233024417075,0.009712697825771263
41,Fixed effect,wildfire_dummy,avg_tornado_scale,0.05935108364432584,0.03392739399441064,0.02323699328699206
42,Fixed effect,wildfire_dummy,PerCapitaIncome,0.05909717530888914,0.03212935022548081,-1.7668644068564564e-06
43,Fixed effect,wildfire_dummy,GDP_per_capita,0.05937457259877377,0.03037121554304819,-2.5361322836322153
44,Fixed effect,wildfire_dummy,heat_death,0.05956898648998599,0.03202754940741039,-0.0012977104718239045
45,Fixed effect,wildfire_dummy,winter_storm_count,0.06045302813572684,0.03539367947519081,0.0003067883575039468
46,Fixed effect,wildfire_count,tropical_storm_dummy,0.059181076305451774,0.00023821060379390275,0.026350134060516138
47,Fixed effect,wildfire_count,tornado_injury,0.05924788026454919,0.00022770388804758802,8.12645981557896e-05
48,Fixed effect,wildfire_count,flood_count,0.059833801623127014,0.00027057869499108985,0.0003032727157820637
49,Fixed effect,wildfire_count,flood_death,0.06044212508461144,0.00027873249371857206,0.010858817866232214
50,Fixed effect,wildfire_count,avg_tornado_scale,0.05918373864288273,0.00021389211124637163,0.02298202780849285
51,Fixed effect,wildfire_count,PerCapitaIncome,0.05896871841998241,0.00020634705013834701,-1.884547827769997e-06
52,Fixed effect,wildfire_count,GDP_per_capita,0.05927992149931394,0.00019850200301492233,-2.685417241739079
53,Fixed effect,wildfire_count,heat_death,0.06031708367218047,0.00036461718070035173,-0.0021622223014975965
54,Fixed effect,wildfire_count,winter_storm_count,0.06010316956759787,0.00019113617463621866,0.0002874927694667849
55,Fixed effect,tropical_storm_dummy,tornado_injury,0.0587928224497577,0.017511344619645822,6.42952159133964e-05
56,Fixed effect,tropical_storm_dummy,flood_count,0.05901732431802609,0.011074668185531728,0.00022129052594926482
57,Fixed effect,tropical_storm_dummy,flood_death,0.05955947347191237,0.010362823650365477,0.008806745021676067
58,Fixed effect,tropical_storm_dummy,avg_tornado_scale,0.05891728123450568,0.021755692279875612,0.022676638822174633
59,Fixed effect,tropical_storm_dummy,PerCapitaIncome,0.05869684965774713,0.02014917071526837,-1.8186467937161272e-06
60,Fixed effect,tropical_storm_dummy,GDP_per_capita,0.05900618667243218,0.018490853223517574,-2.6490230288538603
61,Fixed effect,tropical_storm_dummy,heat_death,0.05912137869572687,0.018211623610588538,-0.0012694869165369189
62,Fixed effect,tropical_storm_dummy,winter_storm_count,0.05980077656159255,0.015604635094199952,0.0002844138224806088
63,Fixed effect,tornado_injury,flood_count,0.05920992177479867,5.88277861369928e-05,0.00022477073189590486
64,Fixed effect,tornado_injury,flood_death,0.05980524762385564,6.32764338119985e-05,0.00900794973192748
65,Fixed effect,tornado_injury,avg_tornado_scale,0.05892483456859565,6.441125710615983e-05,0.019794459391080054
66,Fixed effect,tornado_injury,PerCapitaIncome,0.05891250112936419,7.862202314622102e-05,-2.190165758584787e-06
67,Fixed effect,tornado_injury,GDP_per_capita,0.059262924480175894,7.830816965886322e-05,-2.964279259884087
68,Fixed effect,tornado_injury,heat_death,0.0593121223143519,7.203881548056601e-05,-0.0013320037671781942
69,Fixed effect,tornado_injury,winter_storm_count,0.05994822271338507,6.259762661246447e-05,0.000286044100527157
70,Fixed effect,flood_count,flood_death,0.05962372286953521,0.00011727085937384178,0.0077223412243704855
71,Fixed effect,flood_count,avg_tornado_scale,0.05924981659377859,0.00022919061372218813,0.019040929020115244
72,Fixed effect,flood_count,PerCapitaIncome,0.05926197584466675,0.00025877648885798226,-2.191512499524063e-06
73,Fixed effect,flood_count,GDP_per_capita,0.05957437883023209,0.00025200224078841116,-2.8774774557871283
74,Fixed effect,flood_count,heat_death,0.059576559507559024,0.00023272917672942142,-0.0012544981024094656
75,Fixed effect,flood_count,winter_storm_count,0.059997384683563526,0.00017410976016726942,0.00025972129022264147
76,Fixed effect,flood_death,avg_tornado_scale,0.05979543742539595,0.008951105643153701,0.01891472884792565
77,Fixed effect,flood_death,PerCapitaIncome,0.059800393697217014,0.009566855746610082,-2.156929215432867e-06
78,Fixed effect,flood_death,GDP_per_capita,0.0601129178564932,0.009418710283522556,-2.8563312522603117
79,Fixed effect,flood_death,heat_death,0.06025979721513863,0.00950851757932643,-0.0013795039605279606
80,Fixed effect,flood_death,winter_storm_count,0.06058043712859451,0.008010750353485625,0.0002590184443785219
81,Fixed effect,avg_tornado_scale,PerCapitaIncome,0.05881230216258371,0.02122570779549279,-1.772751663487476e-06
82,Fixed effect,avg_tornado_scale,GDP_per_capita,0.05914986242197784,0.020783497121856506,-2.682737781878609
83,Fixed effect,avg_tornado_scale,heat_death,0.05931958015447114,0.02205428743372075,-0.0013311981708492761
84,Fixed effect,avg_tornado_scale,winter_storm_count,0.05996815519198506,0.019586633290811187,0.0002870510731827896
85,Fixed effect,PerCapitaIncome,GDP_per_capita,0.059309249232708416,8.79117279633878e-06,-10.59836957467562
86,Fixed effect,PerCapitaIncome,heat_death,0.059412872334798195,-2.8411673516066546e-06,-0.0016002665217094963
87,Fixed effect,PerCapitaIncome,winter_storm_count,0.05997455379218131,-2.243177654916469e-06,0.0003051965072224902
88,Fixed effect,GDP_per_capita,heat_death,0.059905822881603066,-3.7268531235631017,-0.0017136466843982695
89,Fixed effect,GDP_per_capita,winter_storm_count,0.060286879350396894,-2.912287314639413,0.00030077827295876223
90,Fixed effect,heat_death,winter_storm_count,0.060080325524081934,-0.0010565923943638186,0.0002696835671354004
